epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
273	0.873	0.997	0.9939086294416244	0.9857868020304569	0.9908629441624366	0.9918781725888325
274	0.873	0.998	0.9928934010152284	0.983756345177665	0.9918781725888325	0.9949238578680203
275	0.869	0.999	0.9939086294416244	0.983756345177665	0.9898477157360406	0.9939086294416244
276	0.851	0.997	0.9918781725888325	0.9827411167512691	0.9878172588832488	0.9928934010152284
277	0.855	0.999	0.9918781725888325	0.9827411167512691	0.9847715736040609	0.9928934010152284
278	0.789	0.958	0.9898477157360406	0.9725888324873097	0.9563451776649746	0.9685279187817258
279	0.88	0.995	0.9939086294416244	0.9817258883248731	0.9878172588832488	0.9939086294416244
280	0.877	0.998	0.9939086294416244	0.9807106598984772	0.9878172588832488	0.9939086294416244
281	0.871	0.999	0.9939086294416244	0.9827411167512691	0.9888324873096447	0.9949238578680203
282	0.866	0.998	0.9918781725888325	0.9827411167512691	0.9868020304568528	0.9928934010152284
283	0.871	0.998	0.9918781725888325	0.9817258883248731	0.9888324873096447	0.9949238578680203
284	0.882	0.999	0.9939086294416244	0.983756345177665	0.9898477157360406	0.9949238578680203
285	0.861	0.997	0.9928934010152284	0.9807106598984772	0.9868020304568528	0.9908629441624366
286	0.873	0.998	0.9918781725888325	0.983756345177665	0.9888324873096447	0.9949238578680203
287	0.881	0.997	0.9928934010152284	0.983756345177665	0.9878172588832488	0.9928934010152284
